Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Sensor Info,Sensor Info (300),Sensor Info (400),Sensor Info (500),Sensor Info (600),Sensor Info (700)
8/22/2024,4536-9239003490.igc,JS-3-18m,3:24:31,185353,221824,LOUT,"MOP monitor reports Engine Run 204 minutes, starts at T=185353 and: 938 msl [7 agl]; Height gain/loss is: 11876",JS-3-18m Motor noise registered by MOP sensor (threshold 300) at t=['185354'] and [7]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 400) at t=['185354'] and [7]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 500) at t=['185354'] and [7]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 600) at t=['185354'] and [7]AGL,JS-3-18m Motor noise registered by MOP sensor (threshold 700) at t=['185354'] and [7]AGL
8/26/2024,4536-9239003581.igc,JS-3-18m,4:41:46,170044,214230,HOME,,,,,,
8/30/2024,4536-9241100596.igc,JS-1-21m,4:26:30,181632,224302,HOME,"JS-1-21m's MOP monitor reports Engine Run 3 minutes, starts at T=222935 and: 2854 msl [1965 agl]; Height gain/loss is: -430
JS-1-21m Motor noise registered by ENL sensor at t=['224250', '224253'] and [112, 115]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 300) at t=['192643', '192905', '192957', '193246', '194326', '194647', '194907', '195011', '195109', '195410', '202357', '202841', '203032', '203132', '203254', '203558', '204233', '204303', '204359', '204731', '205432', '205800', '211304', '211512', '212646', '213141', '214420', '215202', '215505', '215758', '220056', '220354', '220807', '221633', '222155', '222717', '222849', '223236', '224241'] and [4291, 4124, 3609, 3136, 4436, 4327, 4071, 4548, 4114, 3439, 4800, 4160, 3632, 3838, 3487, 3048, 4055, 4305, 3835, 3468, 3084, 2218, 2533, 2615, 5590, 4452, 4750, 3511, 3501, 3517, 4239, 3682, 4127, 2228, 3176, 2322, 2342, 1512, 112]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 400) at t=['194340', '194647', '195148', '195410', '221137', '221633', '222913', '223236', '224245'] and [4311, 4327, 3825, 3439, 3291, 2228, 2149, 1512, 111]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 500) at t=['222935', '223236', '224250'] and [1965, 1512, 112]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 600) at t=['223026', '223236'] and [1565, 1512]AGL",
8/19/2024,4536-9241100428.igc,JS-1-21m,5:21:28,181526,233654,HOME,"JS-1-21m Motor noise registered by ENL sensor at t=['181529', '181530'] and [-19, -15]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 300) at t=['232654', '232658', '232819', '232825', '232828', '232833', '232945', '232954', '233001', '233008', '233030', '233033', '233037', '233041'] and [2792, 2782, 2195, 2054, 2037, 2027, 1443, 1325, 1234, 1148, 1017, 984, 925, 895]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 400) at t=['232654', '232658', '232819', '232825', '232828', '232833', '232945', '232954', '233001', '233008', '233030', '233033', '233037', '233041'] and [2792, 2782, 2195, 2054, 2037, 2027, 1443, 1325, 1234, 1148, 1017, 984, 925, 895]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 500) at t=['232654', '232658', '232819', '232825', '232828', '232833', '232945', '232954', '233001', '233008', '233030', '233033', '233037', '233041'] and [2792, 2782, 2195, 2054, 2037, 2027, 1443, 1325, 1234, 1148, 1017, 984, 925, 895]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 600) at t=['232654', '232658', '232821', '232825', '232947', '232954', '233002', '233008'] and [2792, 2782, 2136, 2054, 1411, 1325, 1220, 1148]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 700) at t=['232821', '232825', '232949', '232954', '233002', '233008'] and [2136, 2054, 1395, 1325, 1220, 1148]AGL"
8/24/2024,4536-9239003557.igc,AS33Es,4:49:34,182943,231917,HOME,,,,,,
8/28/2024,4536-9239003634.igc,Ventus3T,2:53:09,181451,210800,HOME,,,,,,
8/24/2024,4536-9241100513.igc,JS-1-21m,4:29:13,183405,230318,HOME,"JS-1-21m Motor noise registered by ENL sensor at t=['230258', '230302', '230309', '230312'] and [95, 96, 89, 85]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 300) at t=['204050', '204053'] and [4603, 4606]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 400) at t=['204050', '204053'] and [4603, 4606]AGL","JS-1-21m Motor noise registered by MOP sensor (threshold 500) at t=['204050', '204053'] and [4603, 4606]AGL",,
8/22/2024,4536-9240051874.igc,ArcusM,5:04:44,183356,233840,HOME,,,,,,
8/21/2024,4536-9239003434.igc,JS-3-18m,5:08:15,184832,235647,HOME,,,,,,
8/18/2024,4536-9241100420.igc,EB29R,5:19:41,180146,232127,HOME,"EB29R's ENL monitor reports Engine Run 3 minutes, starts at T=180155 and: 928 msl [-2 agl]; Height gain/loss is: 1975
EB29R Motor noise registered by ENL sensor at t=['180155', '180552'] and [-2, 2021]AGL",,,,,
